title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
DEREK JETER 1993 Score Pinnacle 1st ROOKIE Card #457 NY Yankees HOF MINT RC,$9.95,"Sold Jan 24, 2026",N,,,N,N,$0.74,jpassey,New,https://www.ebay.com/itm/326969294113,https://i.ebayimg.com/images/g/TckAAeSwc91pdT2t/s-l500.webp
1993 Score: #457 Derek Jeter RC EX-EXMINT,$3.25,"Sold Jan 24, 2026",N,,,Y,N,$4.95,gregmorrismodern,New,https://www.ebay.com/itm/366124628216,https://i.ebayimg.com/images/g/xLgAAeSwhodpZ94D/s-l500.webp
1993 Pinnacle #457 Derek Jeter ex-exmt,$5.50,"Sold Jan 24, 2026",N,,,Y,N,$0.74,mlcarlan2012,New,https://www.ebay.com/itm/287082559263,https://i.ebayimg.com/images/g/5KgAAeSw8TNpas7E/s-l500.webp
1993 Pinnacle #457 Derek Jeter Yankees RC Rookie HOF PSA 8 NM-MT,$22.50,"Sold Jan 23, 2026",Y,PSA,8,Y,N,$5.95,coresclassics6t25,New,https://www.ebay.com/itm/317772186802,https://i.ebayimg.com/images/g/0qoAAeSwYIppYUym/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$7.00,"Sold Jan 23, 2026",N,,,Y,N,$1.32,collectablecardsxothercoolstuff,New,https://www.ebay.com/itm/366129972147,https://i.ebayimg.com/images/g/FK0AAeSwtA9paqRw/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 (RC),$9.99,"Sold Jan 23, 2026",N,,,N,N,$1.32,hu923190,New,https://www.ebay.com/itm/306710749554,https://i.ebayimg.com/images/g/G6kAAeSwA11pZ8hX/s-l500.webp
1993 Pinnacle Derek Jeter #457 PSA 10 GEM MINT Rookie Card HOF Yankees,$655.99,"Sold Jan 22, 2026",Y,PSA,10,Y,N,$6.00,toprightcollectibles,New,https://www.ebay.com/itm/205994798514,https://i.ebayimg.com/images/g/Mx0AAeSwR2lpZa8o/s-l500.webp
1993 Pinnacle Baseball #457 Derek Jeter Rookie RC,$8.50,"Sold Jan 22, 2026",N,,,Y,N,$5.00,tntnorthnj,New,https://www.ebay.com/itm/376860278613,https://i.ebayimg.com/images/g/yloAAeSwAF9pZdnj/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 HOF 3ud,$9.16,"Sold Jan 21, 2026",N,,,N,N,$2.99,comc_consignment,New,https://www.ebay.com/itm/336371145609,https://i.ebayimg.com/images/g/mNUAAeSwo~RpV0a8/s-l500.webp
1993 Pinnacle Derek Jeter RC 1st Round Draft Picks Yankees #457,$3.25,"Sold Jan 21, 2026",N,,,Y,N,$5.99,5_star_cards,New,https://www.ebay.com/itm/257308908747,https://i.ebayimg.com/images/g/-jMAAeSwOvlpZ-4R/s-l500.webp
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees PSA 8,$28.51,"Sold Jan 21, 2026",Y,PSA,8,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127627994921,https://i.ebayimg.com/images/g/K14AAeSwrBhpao9-/s-l500.webp
1993 Pinnacle Derek Jeter PSA 8 #457,$26.99,"Sold Jan 21, 2026",Y,PSA,8,N,N,$5.89,dyku-2708,New,https://www.ebay.com/itm/168049981207,https://i.ebayimg.com/images/g/Ua0AAeSwfOJpMh6e/s-l500.webp
Derek Jeter PSA Lot - 1993 Topps #98 93 Pinnacle #457 + 2 Rookie Cards Mint,$75.00,"Sold Jan 21, 2026",Y,PSA,2,N,N,$7.95,j_lcollectibles,New,https://www.ebay.com/itm/177791576036,https://i.ebayimg.com/images/g/sbUAAeSw0OFocN~M/s-l500.webp
1993 Pinnacle #457 Derek Jeter BASEBALL New York Yankees,$15.00,"Sold Jan 20, 2026",N,,,N,N,$0.00,dellcards,New,https://www.ebay.com/itm/197840427229,https://i.ebayimg.com/images/g/TwkAAeSwV9NpDxff/s-l500.webp
1993 Pinnacle #457 Derek Jeter *PSA 6 EX-MT* Cert.#48865563 Baseball Card,$10.00,"Sold Jan 20, 2026",Y,PSA,6,N,N,$6.00,rwgspan,New,https://www.ebay.com/itm/114763568760,https://i.ebayimg.com/images/g/ffoAAOSwuWVgdHWG/s-l500.webp
1993 Pinnacle #457 Derek Jeter Rookie Card HOF. PSA 8 NM-MT,$25.00,"Sold Jan 20, 2026",Y,PSA,8,N,N,$4.85,firstmag,New,https://www.ebay.com/itm/167484765326,https://i.ebayimg.com/images/g/xxsAAeSwOTBoEXkZ/s-l500.webp
1993 Pinnacle #457 Derek Jeter New York Yankees 1st Round Draft,$4.01,"Sold Jan 20, 2026",N,,,Y,N,$8.74,ryhune,New,https://www.ebay.com/itm/326954662495,https://i.ebayimg.com/images/g/saQAAeSwkZZpZtl5/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) PSA 9 Mint,$50.06,"Sold Jan 20, 2026",Y,PSA,9,Y,N,$5.99,pappas8622,New,https://www.ebay.com/itm/187949724716,https://i.ebayimg.com/images/g/EesAAeSwM7RpZuD1/s-l500.webp
DEREK JETER 1993 PINNACLE CARD #457,$6.50,"Sold Jan 20, 2026",N,,,Y,N,$2.00,jiggster15,New,https://www.ebay.com/itm/187948427335,https://i.ebayimg.com/images/g/Ag0AAeSwknRpZma0/s-l500.webp
Derek Jeter 1993 Score ROOKIE #457 New York Yankees,$8.00,"Sold Jan 20, 2026",N,,,N,Y,$1.50,kardman11,New,https://www.ebay.com/itm/127612414074,https://i.ebayimg.com/images/g/23EAAeSwl29pYDSE/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Rookie RC HOF,$11.99,"Sold Jan 19, 2026",N,,,N,N,$1.32,luckettslion,New,https://www.ebay.com/itm/197824117295,https://i.ebayimg.com/images/g/L3wAAeSwMYBpB3R5/s-l500.webp
1993 Pinnacle Derek Jeter Rookie Draft Pick! PSA 9! New York Yankees! #457,$50.00,"Sold Jan 19, 2026",Y,PSA,9,N,N,$7.95,thewolfof-32,New,https://www.ebay.com/itm/136960183514,https://i.ebayimg.com/images/g/80cAAeSwm6VpbTop/s-l500.webp
DEREK JETER Oddball Insert & Regular issue YANKEES Baseball YOU CHOOSE,$1.00,"Sold Jan 19, 2026",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/353713709816,https://i.ebayimg.com/images/g/7HcAAOSwXPJhYEpy/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$8.99,"Sold Jan 18, 2026",N,,,N,N,$0.00,jbeasley4205,New,https://www.ebay.com/itm/277657921628,https://i.ebayimg.com/images/g/wCkAAeSwy8VpbVj4/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$9.97,"Sold Jan 18, 2026",N,,,N,Y,$1.32,grasscat_37,New,https://www.ebay.com/itm/366133672953,https://i.ebayimg.com/images/g/yBUAAeSwJaZpbQ0K/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Derek Jeter #457 Baseball Card,$12.88,"Sold Jan 18, 2026",N,,,N,Y,$0.00,gargal68,New,https://www.ebay.com/itm/366031453670,https://i.ebayimg.com/images/g/MqAAAeSwtGxpLcSf/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$10.50,"Sold Jan 18, 2026",N,,,Y,N,$1.32,smittyc-26,New,https://www.ebay.com/itm/397491697455,https://i.ebayimg.com/images/g/jkIAAeSwZbFpZngg/s-l500.webp
1993 PINNACLE #457 DEREK JETER ROOKIE RC PSA 7,$15.11,"Sold Jan 17, 2026",Y,PSA,7,Y,N,$5.99,psa,New,https://www.ebay.com/itm/116973928874,https://i.ebayimg.com/images/g/CjgAAeSwBU9pYQ-b/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$4.99,"Sold Jan 17, 2026",N,,,N,N,$0.00,jbeasley4205,New,https://www.ebay.com/itm/287081127123,https://i.ebayimg.com/images/g/1AoAAeSwJaZpa0SA/s-l500.webp
1993 Pinnacle Derek Jeter PSA 6 #457,$12.50,"Sold Jan 17, 2026",Y,PSA,6,N,N,$4.85,firstmag,New,https://www.ebay.com/itm/167484730983,https://i.ebayimg.com/images/g/sZEAAeSwHztoEXLl/s-l500.webp
1993 Pinnacle #457 Derek Jeter Rookie RC New York Yankees (HOF) PSA 9 MINT,$59.99,"Sold Jan 17, 2026",Y,PSA,9,N,N,$4.50,metrowax,New,https://www.ebay.com/itm/236538101637,https://i.ebayimg.com/images/g/dcoAAeSwuEVpR0Ha/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Rookie Derek Jeter - New York Yankees #457,$10.00,"Sold Jan 17, 2026",N,,,N,N,$1.32,izapot0,New,https://www.ebay.com/itm/147097427175,https://i.ebayimg.com/images/g/I1AAAeSwiE5parmP/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Rookie Derek Jeter - New York Yankees #457,$10.00,"Sold Jan 16, 2026",N,,,N,Y,$1.32,trev_cards,New,https://www.ebay.com/itm/406571669770,https://i.ebayimg.com/images/g/NB8AAeSwYO1pYCQk/s-l500.webp
1993 Pinnacle 1st Round Draft Pick Rookie Derek Jeter #457 (RC) BGS 9 MINT,$68.95,"Sold Jan 16, 2026",Y,BGS,9,N,N,$5.45,burkholdercandc,New,https://www.ebay.com/itm/256978378095,https://i.ebayimg.com/images/g/UR4AAOSwOp1oUCMC/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$14.00,"Sold Jan 15, 2026",N,,,Y,N,$1.32,collectablecardsxothercoolstuff,New,https://www.ebay.com/itm/366110976362,https://i.ebayimg.com/images/g/lpAAAeSwRaxpYChr/s-l500.webp
1993 Pinnacle #457 Derek Jeter,$10.99,"Sold Jan 15, 2026",N,,,N,N,$1.32,waters_edge98,New,https://www.ebay.com/itm/336348618236,https://i.ebayimg.com/images/g/o3UAAeSw1bBpQyO5/s-l500.webp
Derek Jeter 1993 Pinnacle 1st Round RC Rookie #457 PSA 8 Yankees,$27.00,"Sold Jan 14, 2026",Y,PSA,8,N,N,$5.52,ntxcardbros,New,https://www.ebay.com/itm/326853756074,https://i.ebayimg.com/images/g/ROUAAeSwKTVpDlFy/s-l500.webp
1993 PINNACLE #457 DEREK JETER - Rookie Card - PSA 8 NM-MINT - HOF- NY Yankees,$25.00,"Sold Jan 14, 2026",Y,PSA,8,N,N,$6.80,cubsfanforever,New,https://www.ebay.com/itm/317625697378,https://i.ebayimg.com/images/g/XSMAAeSwCyppMkiA/s-l500.webp
1993 PINNACLE #457 DEREK JETER ROOKIE RC PSA 8,$24.99,"Sold Jan 14, 2026",Y,PSA,8,N,Y,$5.99,psa,New,https://www.ebay.com/itm/306664087913,https://i.ebayimg.com/images/g/GdQAAeSwb-lpQ~It/s-l500.webp
1993 Pinnacle Derek Jeter Rookie RC #457 Yankees SGC 9.5,$122.00,"Sold Jan 14, 2026",Y,SGC,9.5,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127614125916,https://i.ebayimg.com/images/g/XdYAAeSwAKRpYWC3/s-l500.webp
1993 Pinnacle #457 Derek Jeter New York Yankees HOF NO RESERVE! MINT,$13.50,"Sold Jan 14, 2026",N,,,Y,N,$1.50,cw-valuecards,New,https://www.ebay.com/itm/187926912839,https://i.ebayimg.com/images/g/bfYAAeSwUdppXwV2/s-l500.webp
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) PSA 9 Mint,$48.55,"Sold Jan 14, 2026",Y,PSA,9,Y,N,$5.99,pappas8622,New,https://www.ebay.com/itm/187926753208,https://i.ebayimg.com/images/g/xk0AAeSw7slpXvdF/s-l500.webp
1996 Pinnacle #171 Derek Jeter RC,$2.00,"Sold Jan 13, 2026",N,,,N,N,$0.69,f3collectables,New,https://www.ebay.com/itm/389492513278,https://i.ebayimg.com/images/g/15gAAeSwQ19pZwsA/s-l500.webp
DEREK JETER Rookie RC - 1993 Pinnacle #457 - 1st Round Draft Pick - Yankees,$9.99,"Sold Jan 13, 2026",N,,,N,N,$1.32,wendcollec0,New,https://www.ebay.com/itm/187943069679,https://i.ebayimg.com/images/g/OJ0AAeSwhWNpZHux/s-l500.webp
1993 Pinnacle Derek Jeter Rookie #457,$13.00,"Sold Jan 13, 2026",N,,,N,N,$0.00,kcfutures9,New,https://www.ebay.com/itm/167878047524,https://i.ebayimg.com/images/g/z~AAAeSwt51o-VaI/s-l500.webp
