title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
1991 Fleer Pro-Visions #11 Don Mattingly PSA 8 NM-MT Yankees,$15.00,"Sold Mar 16, 2026",Y,PSA,8,Y,N,$5.20,sea-4401,New,https://www.ebay.com/itm/157730752627
"Dwight Gooden MEGA SALE - You Pick - Inserts, Base Set - Mets, Yankees - HOF",$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,maple_city_card_corner,New,https://www.ebay.com/itm/274981165601
Charles Nagy Cleveland Indians Signed Auto 1991 Fleer Card #U-20 ~ COA,$3.95,"Sold Mar 16, 2026",N,,,N,Y,$0.84,squeaksfarm,New,https://www.ebay.com/itm/325799239852
Brook Jacoby Cleveland Indians Signed Auto 1991 Fleer Card #369 ~ COA,$2.95,"Sold Mar 16, 2026",N,,,N,Y,$0.84,squeaksfarm,New,https://www.ebay.com/itm/325799223665
1991 FLEER ULTRA UPDATE PAUL GIBSON AUTOGRAPH SIGNED AUTO #U-23 DETROIT TIGERS,$7.95,"Sold Mar 16, 2026",N,,,N,N,$0.00,dansbbcards1988,New,https://www.ebay.com/itm/358206955326
Signed 1991 Fleer Ultra - Joe Girardi #60,$7.99,"Sold Mar 16, 2026",N,,,N,N,$1.30,penguinblewis,New,https://www.ebay.com/itm/205989038833
Darryl Strawberry MEGA SALE - You Pick - Base Set and Inserts - Mets - HOF,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,maple_city_card_corner,New,https://www.ebay.com/itm/275017569205
(5) Todd Van Poppel 1991 Upper Deck Rookie Card RC Donruss Score 1992 Fleer A's,$6.98,"Sold Mar 16, 2026",N,,,N,N,$0.00,,New,https://www.ebay.com/itm/298024259402
1991 KIRBY PUCKETT ULTRA #195 PSA 6 MINNESOTA TWINS HOF - TOUGH GRADE,$9.00,"Sold Mar 16, 2026",Y,PSA,6,N,Y,$0.99,thepharmacycollectibles,New,https://www.ebay.com/itm/227147850052
Mark McGwire A's Signed Autograph Auto 1991 Fleer Pro-Visions Card # 4,$179.00,"Sold Mar 16, 2026",N,,,N,N,$5.52,freib,New,https://www.ebay.com/itm/256602481369
1991 Fleer - Pro-Vision Bo Jackson #5 Kansas City Royals - 5d,$3.00,"Sold Mar 16, 2026",N,,,N,N,$0.74,rhtroost1,New,https://www.ebay.com/itm/227251743519
Ryne Sandberg RYNO Chicago Cubs 2B Hall Of Fame Many Oddballs WOW YOU PICK,$3.99,"Sold Feb 16, 2026",N,,,N,N,$1.00,woo-bay,New,https://www.ebay.com/itm/227218207834
1991 Fleer Baseball Cards #'s 1-250 You Pick NMMT + Free Shipping!,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.00,lennyscards,New,https://www.ebay.com/itm/317908701077
1987-1991 Fleer Baseball Team Logo Stickers / U Pick Your Cards / Buy4+ Save50%,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.89,eclectic_eden,New,https://www.ebay.com/itm/174840455978
KEN GRIFFEY JR. cards (1989-1992) SEATTLE MARINERS ~You Pick~,$1.00,"Sold Mar 16, 2026",N,,,N,N,$1.50,nerdysportsgirl24,New,https://www.ebay.com/itm/296762899433
1991 Fleer Baseball - Pick Choose Your Cards #601-720,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.75,focusedongaming,New,https://www.ebay.com/itm/293612394610
1991 Fleer Baseball - Pick Choose Your Cards #1-200,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.75,focusedongaming,New,https://www.ebay.com/itm/362994459647
1991 Fleer Baseball - Pick Choose Your Cards #401-600,$0.99,"Sold Mar 16, 2026",N,,,N,N,$0.50,focusedongaming,New,https://www.ebay.com/itm/293612285906
1991 Fleer - Rare Factory Set Pro-Vision Rickey Henderson #2 - High Grade,$3.95,"Sold Mar 16, 2026",N,,,N,Y,$0.00,willo44,New,https://www.ebay.com/itm/389734211424
Roger Clemens Eric Davis 1991 Fleer ERROR Pro Visions MISCUT RARE ODDBALL,$4.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,woo-bay,New,https://www.ebay.com/itm/227226546549
Ruben Sierra Mark McGwire 1991 Fleer ERROR Pro Visions MISCUT ODDBALL,$8.99,"Sold Mar 16, 2026",N,,,N,N,$1.00,woo-bay,New,https://www.ebay.com/itm/227243427748
1991 FLEER BASEBALL 'PRO VISION ILLUSTRATIONS - YOU PICK,$1.79,"Sold Mar 16, 2026",N,,,N,N,$0.00,carcards,New,https://www.ebay.com/itm/317955472228
Ruben Sierra Mark McGwire 1991 Fleer Pro Visions Miscut Baseball Card,$6.95,"Sold Mar 16, 2026",N,,,N,N,$1.25,stackingchips,New,https://www.ebay.com/itm/287117178036
1991 Fleer - #467 Jeff Ballard,$1.55,"Sold Mar 15, 2026",N,,,N,Y,$0.00,55cardking,New,https://www.ebay.com/itm/137035130983
1991 FLEER PRO-VISION #9 ROGER CLEMENS PSA 9,$64.99,"Sold Mar 15, 2026",Y,PSA,9,N,N,$5.99,psa,New,https://www.ebay.com/itm/298124070433
Dave Winfield 1991 Fleer #329 Angels MLB READ FREE SHIPPING AutographDen,$0.06,"Sold Mar 15, 2026",N,,,Y,N,$0.00,autographden,New,https://www.ebay.com/itm/397696743586
Alan Trammell 1991 Fleer #355 Detroit Tigers MLB READ FREE SHIPPING AutographDen,$0.38,"Sold Mar 15, 2026",N,,,Y,N,$0.00,autographden,New,https://www.ebay.com/itm/397696743253
1991 Fleer - Pro-Visions #5 Bo Jackson,$1.99,"Sold Mar 15, 2026",N,,,N,N,$0.78,mrhigherlevel,New,https://www.ebay.com/itm/389733987044
1991 Fleer Baseball Ken Griffey Jr Base #450 Seattle Mariners,$0.99,"Sold Mar 15, 2026",N,,,Y,N,$1.03,bbwcardsandcoins,New,https://www.ebay.com/itm/377019602738
1991 Fleer Don Mattingly #11 Pro-Vision New York Yankees Baseball Card,$0.01,"Sold Mar 15, 2026",N,,,Y,N,$1.32,richardv65,New,https://www.ebay.com/itm/406748963895
MICHAEL JORDAN Basketball Singles & Inserts (With Pictures) / You Pick The Cards,$1.95,"Sold Mar 15, 2026",N,,,N,N,$2.00,mags3030,New,https://www.ebay.com/itm/376771602154
1991 Fleer - #718 Checklist,$1.55,"Sold Mar 15, 2026",N,,,N,Y,$0.00,55cardking,New,https://www.ebay.com/itm/137035130929
