title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
1996 Pinnacle The Naturals #135 Frank Thomas Chicago White Sox,$1.00,"Sold Jan 26, 2026",N,,,N,N,$0.00,joshunboxedcards,New,https://www.ebay.com/itm/116978005762
1996 Pinnacle Zenith Frank Thomas Z Team PROMO #4 White Sox HOF,$1.64,"Sold Jan 22, 2026",N,,,Y,N,$12.05,swscardz,New,https://www.ebay.com/itm/227176139399
1996 Pinnacle #157 Frank Thomas Starburst,$2.00,"Sold Jan 18, 2026",N,,,N,N,$1.00,rodent144,New,https://www.ebay.com/itm/147052269040
FRANK THOMAS 1996 PINNACLE SUMMIT BIG BANG INSERT PARALLEL #d 101/600 RARE,$56.00,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589933212
FRANK THOMAS 1996 PINNACLE AFICIONADO ARTISTS PROOF INSERT PARALLEL #59 RARE,$17.19,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589910754
FRANK THOMAS 1996 PINNACLE SUMMIT BIG BANG MIRAGE INSERT PARALLEL #d 543/600,$42.00,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589935229
1996 Pinnacle #201 Frank Thomas Foil,$1.55,"Sold Feb 17, 2026",N,,,N,N,$0.99,ebripz,New,https://www.ebay.com/itm/177817633941
1996 Pinnacle Frank Thomas Skylines Clear Acetate SSP Case Hit 2 of 18 White Sox,$406.35,"Sold Mar 8, 2026",N,,,Y,N,$0.00,ohiocardexchange,New,https://www.ebay.com/itm/366236955801
FRANK THOMAS 1998 PINNACLE MINT GOLD MINT GOLD TEAM PARALLEL RARE #22,$38.00,"Sold Feb 26, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127694427249
FRANK THOMAS 1996 PINNACLE DUFEX ARTISTS PROOF INSERT PARALLEL #101 RARE,$22.85,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/116952862993
FRANK THOMAS 1996 PINNACLE DUFEX ARTISTS PROOF INSERT PARALLEL #198 RARE,$22.08,"Sold Jan 4, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127589901390
FRANK THOMAS 1996 PINNACLE SUMMIT ABOVE AND BEYOND PARALLEL INSERT #88,$11.49,"Sold Jan 30, 2026",N,,,Y,N,$1.50,retro_sports_co,New,https://www.ebay.com/itm/116997674745
"1996 Pinnacle - Team Pinnacle Frank Thomas, Jeff Bagwell #1 - HOF NM",$5.99,"Sold Mar 5, 2026",N,,,N,N,$0.00,jebu-991499,New,https://www.ebay.com/itm/137055498090
FRANK THOMAS 1998 PINNACLE ZENITH Z TEAM DUFEX INSERT #1,$4.25,"Sold Jan 29, 2026",N,,,Y,N,$1.50,retro_sports_co,New,https://www.ebay.com/itm/127639752269
1996 Pinnacle #198 Frank Thomas 300 Series Starburst Chicago White Sox,$2.50,"Sold Jan 11, 2026",N,,,N,Y,$0.00,johnnym4151,New,https://www.ebay.com/itm/317725354480
1996 Pinnacle Select Frank Thomas Claim to Fame #4 White Sox PSA 6,$7.50,"Sold Dec 26, 2025",Y,PSA,6,Y,N,$4.99,dcsports87,New,https://www.ebay.com/itm/127572711632
1998 Pinnacle Mint Collection #22 Frank Thomas Bronze (Frank Thomas Coin),$0.99,"Sold Feb 18, 2026",N,,,Y,N,$2.00,razorsedgesportscards,New,https://www.ebay.com/itm/389608679248
Frank Thomas 1996 Pinnacle Aficionado 59 Chicago White Sox,$1.79,"Sold Dec 20, 2025",N,,,N,Y,$0.00,warriorcards65,New,https://www.ebay.com/itm/267431687728
FRANK THOMAS 1996 PINNACLE WHITE HOT DUFEX INSERT #WH3 RARE,$129.09,"Sold Feb 25, 2026",N,,,Y,N,$5.99,retro_sports_co,New,https://www.ebay.com/itm/127692472002
1996 Pinnacle #1 Frank Thomas Pinnacle Power,$2.49,"Sold Jan 14, 2026",N,,,N,N,$0.00,cmauction,New,https://www.ebay.com/itm/388964567182
1996 Pinnacle Foil #101 Frank Thomas,$1.50,"Sold Dec 28, 2025",N,,,N,N,$0.00,southern-illinois-auctions,New,https://www.ebay.com/itm/376207428884
1995 Pinnacle Zenith FRANK THOMAS #3 Z-Team 💎 DSG 9 Mint,$75.00,"Sold Mar 4, 2026",N,,,N,N,$3.99,card-collecting,New,https://www.ebay.com/itm/127033410603
Frank Thomas 1996 Pinnacle Slugfest #1 - Chicago White Sox,$4.00,"Sold Mar 1, 2026",N,,,N,N,$0.00,postgamecards,New,https://www.ebay.com/itm/267583500251
1996 Pinnacle Select Frank Thomas En Fuego #2 White Sox,$15.00,"Sold Mar 7, 2026",N,,,N,N,$1.32,chantzit,New,https://www.ebay.com/itm/157716557490
Frank Thomas - 1996 Pinnacle 1st Rate PSA 9,$42.39,"Sold Jan 25, 2026",Y,PSA,9,N,N,$4.00,vbcardsandcollectibles,New,https://www.ebay.com/itm/177618913998
1996 Pinnacle Summit Hitters Inc. Frank Thomas #6 /4000 Chicago White Sox HOF,$4.99,"Sold Dec 28, 2025",N,,,N,N,$0.00,thecardguy11,New,https://www.ebay.com/itm/127515409908
1996 Pinnacle #101 Frank Thomas Starburst,$2.25,"Sold Jan 18, 2026",N,,,N,N,$1.00,rodent144,New,https://www.ebay.com/itm/147052269006
1996 Summit #88 Frank Thomas Silver Foilboard,$2.49,"Sold Feb 18, 2026",N,,,N,N,$0.00,gsquared_collectibles,New,https://www.ebay.com/itm/297694785081
1996 Pinnacle Frank Thomas 300 Series Starburst #198 Chicago White Sox,$2.49,"Sold Mar 6, 2026",N,,,N,Y,$0.00,hawknahcards,New,https://www.ebay.com/itm/146841347679
1998 Pinnacle Mint Collection Frank Thomas #22 Chicago White Sox,$1.42,"Sold Jan 15, 2026",N,,,N,N,$0.00,thriftx3,New,https://www.ebay.com/itm/187336840794
1996 Pinnacle #257 Frank Thomas Chicago White Sox,$2.39,"Sold Feb 15, 2026",N,,,N,Y,$0.00,lakebridgecards,New,https://www.ebay.com/itm/389537041428
