title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1991 Upper Deck MICHAEL JORDAN RC #SP1 Chicago White Sox Baseball Card (f7),$15.99,$1.40,"Sold Mar 17, 2026",start_em_low,New,https://www.ebay.com/itm/198199530556,https://i.ebayimg.com/images/g/KYIAAeSw6~tpuaMN/s-l500.webp,N,,,N,N,15.99,1.4,17.39,2026-03-17,bin,False,False,,,F7
PSA 8 Upper Deck 1991 SP1 Michael Jordan Rookie Chicago White Sox,$38.00,$7.95,"Sold Mar 17, 2026",slamdunk23,New,https://www.ebay.com/itm/376089135629,https://i.ebayimg.com/images/g/JUgAAOSwYoJn3lb5/s-l500.webp,Y,PSA,8,N,N,38.0,7.95,45.95,2026-03-17,bin,False,True,PSA,8.0,
1991 UD #SP1 MICHAEL JORDAN PSA 10,"$1,200.00",$5.99,"Sold Mar 17, 2026",psa,New,https://www.ebay.com/itm/117050136735,https://i.ebayimg.com/images/g/hkIAAeSwb5ZpmgUu/s-l500.webp,Y,PSA,10,N,N,1200.0,5.99,1205.99,2026-03-17,bin,False,True,PSA,10.0,
1991 Upper Deck Michael Jordan SP1 CSG Graded 10 GEM MINT POP 78 GOAT SP LOW POP,$325.00,$5.00,"Sold Mar 10, 2026",bdaly8787,New,https://www.ebay.com/itm/336469651441,https://i.ebayimg.com/images/g/QBEAAeSwSARprcdQ/s-l500.webp,Y,CSG,10,N,N,325.0,5.0,330.0,2026-03-10,bin,False,True,CSG,10.0,78
Michael Jordan 1991 Upper Deck SP1 PSA 9 MINT Baseball Rookie RC 🔥 JUST GRADED!,$99.99,$5.45,"Sold Mar 17, 2026",vtballr72,New,https://www.ebay.com/itm/298117078162,https://i.ebayimg.com/images/g/DG4AAeSwMQhps4Yf/s-l500.webp,Y,PSA,9,N,N,99.99,5.45,105.44,2026-03-17,bin,False,True,PSA,9.0,
Upper Deck 1991 Michael Jordan Insert SP1 Short Print Chicago White Sox MLB Card,$15.50,$3.50,"Sold Mar 17, 2026",thecollector_7,New,https://www.ebay.com/itm/389735947144,https://i.ebayimg.com/images/g/ct8AAeSw~Wxpsufm/s-l500.webp,N,,,Y,N,15.5,3.5,19.0,2026-03-17,auction,False,False,,,
1991 Upper Deck Michael Jordan #SP1 Short Print Baseball,$15.50,$8.75,"Sold Mar 17, 2026",realcardssales,New,https://www.ebay.com/itm/397721870482,https://i.ebayimg.com/images/g/9a4AAeSw2MtpuC4J/s-l500.webp,N,,,Y,N,15.5,8.75,24.25,2026-03-17,auction,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$27.00,$5.20,"Sold Mar 17, 2026",outtaheresports,New,https://www.ebay.com/itm/336472221098,https://i.ebayimg.com/images/g/J5kAAeSwHbtpmf-o/s-l500.webp,N,,,Y,N,27.0,5.2,32.2,2026-03-17,auction,False,False,,,
Michael Jordan Rookie 1991 Upper Deck #SP1 Baseball RC Card Bulls GEM MINT 10,$99.99,$0.00,"Sold Mar 17, 2026",kane04,New,https://www.ebay.com/itm/358263070099,https://i.ebayimg.com/images/g/fqEAAeSwhYxpoKKE/s-l500.webp,N,,,N,N,99.99,0.0,99.99,2026-03-17,bin,False,True,,10.0,
1991 UD #SP1 MICHAEL JORDAN PSA 9,$115.00,$5.99,"Sold Mar 17, 2026",psa,New,https://www.ebay.com/itm/298081706921,https://i.ebayimg.com/images/g/IkkAAeSwVE9ppadk/s-l500.webp,Y,PSA,9,N,N,115.0,5.99,120.99,2026-03-17,bin,False,True,PSA,9.0,
Upper Deck 1991 Michael Jordan #SP1 Short Print Chicago White Sox PSA 8,$36.00,$5.52,"Sold Mar 17, 2026",djmeyer1979,New,https://www.ebay.com/itm/188141293676,https://i.ebayimg.com/images/g/MiwAAeSw~ZZpsBTj/s-l500.webp,Y,PSA,8,Y,N,36.0,5.52,41.52,2026-03-17,auction,False,True,PSA,8.0,
Upper Deck 1991 Short Print Michael Jordan #SP1 Chicago White Sox Baseball,$20.00,$1.32,"Sold Mar 17, 2026",jah2004,New,https://www.ebay.com/itm/168184659226,https://i.ebayimg.com/images/g/8wEAAeSwxdlpni-G/s-l500.webp,N,,,N,N,20.0,1.32,21.32,2026-03-17,bin,False,False,,,
1991 Upper Deck - Short Print Michael Jordan #SP1,$18.00,$5.20,"Sold Mar 17, 2026",robangelides,New,https://www.ebay.com/itm/157754369885,https://i.ebayimg.com/images/g/wucAAeSwM7JptcX3/s-l500.webp,N,,,N,Y,18.0,5.2,23.2,2026-03-17,bin,True,False,,,
1991 Upper Deck MICHAEL JORDAN Baseball #sp1 PSA 9 - MINT,$95.00,$0.00,"Sold Mar 17, 2026",drexelny,New,https://www.ebay.com/itm/266422439397,https://i.ebayimg.com/images/g/TsAAAOSw3xdigqOy/s-l500.webp,Y,PSA,9,N,N,95.0,0.0,95.0,2026-03-17,bin,False,True,PSA,9.0,
Upper Deck 1991 Michael Jordan SP1 Short Print Insert Chicago White Sox Baseball,$16.50,$5.52,"Sold Mar 16, 2026",km27-623,New,https://www.ebay.com/itm/406752156612,https://i.ebayimg.com/images/g/vrQAAeSwMD1pr7io/s-l500.webp,N,,,Y,N,16.5,5.52,22.02,2026-03-16,auction,False,False,,,
1991 Upper Deck #SP1 Michael Jordan PSA 9 HOF Chicago White Sox,$125.00,$0.00,"Sold Mar 16, 2026",jaysace,New,https://www.ebay.com/itm/317913703091,https://i.ebayimg.com/images/g/KecAAOSw5d1g58G6/s-l500.webp,Y,PSA,9,N,N,125.0,0.0,125.0,2026-03-16,bin,False,True,PSA,9.0,
Michael Jordan 1991 Upper Deck Rookie card #SP1 PSA MINT 9 New Slab,$124.95,$13.30,"Sold Mar 16, 2026",srmyers1957,New,https://www.ebay.com/itm/157684963983,https://i.ebayimg.com/images/g/amEAAeSwzQZpknHu/s-l500.webp,Y,PSA,9,N,N,124.95,13.3,138.25,2026-03-16,bin,False,True,PSA,9.0,
1991 UPPER DECK SP1 MICHAEL JORDAN BASEBALL ROOKIE (RC) PSA 9 MINT,$125.00,$5.07,"Sold Mar 16, 2026",txclosetfinds,New,https://www.ebay.com/itm/235856430794,https://i.ebayimg.com/images/g/cgsAAOSwHH9nT5Xz/s-l500.webp,Y,PSA,9,N,Y,125.0,5.07,130.07,2026-03-16,bin,True,True,PSA,9.0,
Upper Deck 1991 Michael Jordan SP1 Chicago White Sox Short Print PSA 9 Baseball,$104.00,$5.52,"Sold Mar 16, 2026",mmcnulty24,New,https://www.ebay.com/itm/188167278510,https://i.ebayimg.com/images/g/29kAAeSwzNppt2O4/s-l500.webp,Y,PSA,9,N,Y,104.0,5.52,109.52,2026-03-16,bin,True,True,PSA,9.0,
1991 Upper Deck #SP1 Michael Jordan Chicago White Sox,$19.99,$0.00,"Sold Mar 16, 2026",mancave_essentials,New,https://www.ebay.com/itm/336485631573,https://i.ebayimg.com/images/g/b4UAAeSwq0tpuLbr/s-l500.webp,N,,,N,N,19.99,0.0,19.99,2026-03-16,bin,False,False,,,
1991 Upper Deck Short Print Michael Jordan #SP1 HOF,$16.50,$4.99,"Sold Mar 16, 2026",comc_consignment,New,https://www.ebay.com/itm/236672870456,https://i.ebayimg.com/images/g/U2EAAeSwdippq2JW/s-l500.webp,N,,,Y,N,16.5,4.99,21.49,2026-03-16,auction,False,False,,,
1991 Upper Deck Michael Jordan Baseball #SP1 Chicago White Sox,$19.99,$5.07,"Sold Mar 16, 2026",teddyterror47,New,https://www.ebay.com/itm/366281120727,https://i.ebayimg.com/images/g/H5QAAeSwCTFpuKkX/s-l500.webp,N,,,N,N,19.99,5.07,25.06,2026-03-16,bin,False,False,,,
