title,price,shipping,sold_date,seller,condition,item_url,image_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC) Plus Bonus Gift 🎁!,$72.12,$0.00,"Sold Mar 14, 2026",lexajoncardsllc,New,https://www.ebay.com/itm/397706676114,https://i.ebayimg.com/images/g/-2MAAeSwFENpryln/s-l500.webp,N,,,N,Y,72.12,0.0,72.12,2026-03-14,bin,True,False,,,457
Derek Jeter 1993 Pinnacle Rookie 1st Round Draft Pick #457 RC EX NY Yankees HOF,$13.99,$0.00,"Sold Mar 14, 2026",the_slab_lab_chicago,New,https://www.ebay.com/itm/168141299979,https://i.ebayimg.com/images/g/oXcAAeSwGwNphqRs/s-l500.webp,N,,,N,Y,13.99,0.0,13.99,2026-03-14,bin,True,False,,,457
Derek Jeter RC 1993 Pinnacle #457 1st Round Draft Pick NY Yankees HOF,$12.00,$1.32,"Sold Mar 13, 2026",canteau2338,New,https://www.ebay.com/itm/267337330024,https://i.ebayimg.com/images/g/vR4AAeSwOWtofuV7/s-l500.webp,N,,,N,Y,12.0,1.32,13.32,2026-03-13,bin,True,False,,,457
1993 Pinnacle - 1st Round Draft Pick Derek Jeter #457 (RC),$18.00,$1.32,"Sold Mar 13, 2026",leftovercards,New,https://www.ebay.com/itm/227245185940,https://i.ebayimg.com/images/g/T-YAAeSwd0Bpqy53/s-l500.webp,N,,,Y,N,18.0,1.32,19.32,2026-03-13,auction,False,False,,,457
1993 Score- Pinnacle: 1st Round Draft Pick Derek Jeter Card #457,$14.99,$0.00,"Sold Mar 12, 2026",ramirezfan99,New,https://www.ebay.com/itm/257157423433,https://i.ebayimg.com/images/g/tKoAAeSwXVho7xBE/s-l500.webp,N,,,N,N,14.99,0.0,14.99,2026-03-12,bin,False,False,,,457
1993 Pinnacle Derek Jeter #457 New York Yankees Rookie,$9.99,$1.00,"Sold Mar 12, 2026",unbreakable.cardz,New,https://www.ebay.com/itm/358310633251,https://i.ebayimg.com/images/g/gMAAAeSwfyppsGjj/s-l500.webp,N,,,N,N,9.99,1.0,10.99,2026-03-12,bin,False,False,,,457
Pinnacle 1993 Derek Jeter #457 1st Round Draft Pick New York Yankees Card,$10.50,$1.32,"Sold Mar 11, 2026",covar381,New,https://www.ebay.com/itm/298090472153,https://i.ebayimg.com/images/g/fQoAAeSwAvJpqRjz/s-l500.webp,N,,,Y,N,10.5,1.32,11.82,2026-03-11,auction,False,False,,,457
1993 Pinnacle #457 Derek Jeter RC ROOKIE Yankees,$14.38,$5.75,"Sold Mar 11, 2026",hoodyscollectibles,New,https://www.ebay.com/itm/147185848191,https://i.ebayimg.com/images/g/mssAAeSwCzBpqPN0/s-l500.webp,N,,,Y,N,14.38,5.75,20.13,2026-03-11,auction,False,False,,,457
1993 Pinnacle Derek Jeter PSA 9 #457,$49.00,$5.20,"Sold Mar 11, 2026",je_590578,New,https://www.ebay.com/itm/206111357406,https://i.ebayimg.com/images/g/fXAAAeSw4h1pqL2b/s-l500.webp,Y,PSA,9,Y,N,49.0,5.2,54.2,2026-03-11,auction,False,True,PSA,9.0,457
1993 Pinnacle Derek Jeter RC HOF PSA 8 #457 Yankees,$20.50,$6.00,"Sold Mar 11, 2026",fsu1025,New,https://www.ebay.com/itm/117069949805,https://i.ebayimg.com/images/g/A-AAAeSwDq5pqGAj/s-l500.webp,Y,PSA,8,Y,N,20.5,6.0,26.5,2026-03-11,auction,False,True,PSA,8.0,457
1993 Pinnacle #457 Derek Jeter Rookie Card BGS BCCG 9 Near Mint+,$50.00,$0.00,"Sold Mar 5, 2026",alotofrookies,New,https://www.ebay.com/itm/267593083989,https://i.ebayimg.com/images/g/gBAAAeSwmrdppxMs/s-l500.webp,Y,BGS,9,N,N,50.0,0.0,50.0,2026-03-05,bin,False,True,BGS,9.0,457
