price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,card_number_guess,grader_norm,grade_value,title_short,valuation_range,valuation_note,valuation_lane
40.0,4.95,44.95,2026-03-19,auction,False,,,,1991 Upper Deck: #SP1 Michael Jordan NM-MT OR BETTER,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
53.0,4.95,57.95,2026-03-19,auction,False,,,,1991 Upper Deck: #SP1 Michael Jordan RC NM-MT OR BETTER,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,1.32,21.32,2026-03-19,auction,False,,,,1991 Upper Deck Baseball # SP1 Michael Jordan Chicago Whi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.36,5.0,27.36,2026-03-19,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan Baseball Rookie Card,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
17.0,0.0,17.0,2026-02-15,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
16.0,5.07,21.07,2026-03-19,bin,False,,,,1991 Upper Deck Michael Jordan SP1 Short Print Insert Chi...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,2.0,21.99,2026-03-19,bin,False,,,,1991 Upper Deck #SP1 Michael Jordan,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
14.99,4.85,19.84,2026-03-19,bin,True,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,5.52,25.51,2026-03-18,bin,True,,,,Upper Deck 1991 Michael Jordan SP1 Chicago White Sox Shor...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
34.55,1.54,36.09,2026-03-18,auction,False,,,,1991 Upper Deck Michael Jordan #SP1 NrMint+ or better Com...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
23.0,0.0,23.0,2026-03-18,bin,False,,,,1991 Upper Deck Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
19.99,3.0,22.99,2026-03-18,bin,False,,,,1991 Upper Deck Short Print Michael Jordan Baseball Rooki...,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
22.17,4.99,27.16,2026-03-18,auction,False,,,,1991 Upper Deck Michael Jordan Inserts #SP1 White Sox,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
36.0,5.52,41.52,2026-03-18,bin,False,,,,1991 Upper Deck - Short Print Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
20.0,0.0,20.0,2026-03-18,bin,False,,,,1991 Upper Deck Michael Jordan #SP1,$25-$112-$112,eBay Raw | Model B - Star / High Liquidity | 321 comps,eBay Raw
