title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
KEN GRIFFEY JR. 1991 Fleer ALL-STAR TEAM INSERT Baseball Card SEATTLE MARINERS!,$1.29,$2.99,"Sold Mar 13, 2026",abcane1926,New,https://www.ebay.com/itm/336469762859,N,,,Y,N,1.29,2.99,4.28,2026-03-13,auction,False,False,,,
"Cal Ripken, Jr. 1991 Fleer #490 Orioles MLB READ FREE SHIPPING AutographDen",$0.16,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689295508,N,,,Y,N,0.16,0.0,0.16,2026-03-13,auction,False,False,,,490
(7) Frank Thomas 1990 Leaf Rookie Card RC Topps Fleer Score 1991 Upper White Sox,$39.99,$0.00,"Sold Mar 13, 2026",,New,https://www.ebay.com/itm/306802108405,N,,,N,N,39.99,0.0,39.99,2026-03-13,bin,False,False,,7.0,
1991 Fleer #3 Jose Canseco World Series,$1.75,$0.00,"Sold Mar 13, 2026",garbangie121,New,https://www.ebay.com/itm/116989537725,N,,,N,N,1.75,0.0,1.75,2026-03-13,bin,False,False,,3.0,
1991 Fleer #4 Rickey Henderson World Series,$0.99,$0.50,"Sold Mar 13, 2026",focusedongaming,New,https://www.ebay.com/itm/296121349065,N,,,N,N,0.99,0.5,1.49,2026-03-13,bin,False,False,,4.0,
"Fleer Baseball Team Logo Sticker Singles (1987-1991) U Pick, 35 Cent Shipping!",$0.99,$0.35,"Sold Mar 13, 2026",g-goss,New,https://www.ebay.com/itm/144650864037,N,,,N,N,0.99,0.35,1.34,2026-03-13,bin,False,False,,,35
1985-1991 Fleer Baseball Team Logo Stickers / 2 STICKER ORDER MINIMUM,$0.99,$0.00,"Sold Mar 13, 2026",tyyo-32,New,https://www.ebay.com/itm/366226309575,N,,,N,N,0.99,0.0,0.99,2026-03-13,bin,False,False,,2.0,
Glenn Davis 1991 Fleer #505 Houston Astros MLB READ FREE SHIPPING AutographDen,$0.01,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/397689292606,N,,,Y,N,0.01,0.0,0.01,2026-03-13,auction,False,False,,,505
Gary Carter 1991 Fleer #258 Giants MLB READ FREE SHIPPING AutographDen,$0.11,$0.00,"Sold Mar 13, 2026",autographden,New,https://www.ebay.com/itm/277784724312,N,,,Y,N,0.11,0.0,0.11,2026-03-13,auction,False,False,,,258
1991 FLEER ULTRA #149 BO JACKSON PSA 8,$12.00,$5.99,"Sold Mar 13, 2026",psa,New,https://www.ebay.com/itm/117071690932,Y,PSA,8,Y,N,12.0,5.99,17.99,2026-03-13,auction,False,True,PSA,8.0,149
