title,price,shipping,sold_date,seller,condition,item_url,graded,grader,grade,auction,best_offer,price_value,shipping_value,total_value,sold_date_value,listing_type,is_best_offer,is_graded,grader_norm,grade_value,card_number_guess
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze Commemorative Medallion,$5.50,$5.45,"Sold Feb 26, 2026",yinzer68,New,https://www.ebay.com/itm/376919270145,N,,,N,N,5.5,5.45,10.95,2026-02-26,bin,False,False,,,
Nolan Ryan 1991 Stadium Club Charter Members Only “7th No Hitter” Texas Rangers,$1.99,$0.00,"Sold Feb 24, 2026",cincysignatures,New,https://www.ebay.com/itm/116999505539,N,,,N,N,1.99,0.0,1.99,2026-02-24,bin,False,False,,,
1991 Stadium Club Charter Member Commemorative Bronze Medallion Nolan Ryan,$10.99,$1.99,"Sold Feb 24, 2026",mantlemania4ever,New,https://www.ebay.com/itm/177044125064,N,,,N,N,10.99,1.99,12.98,2026-02-24,bin,False,False,,,
Nolan Ryan 1991 Stadium Club Charter Member Commemorative Medallion Card,$3.00,$5.75,"Sold Feb 22, 2026",collectibleswithphil,New,https://www.ebay.com/itm/286543916550,N,,,N,Y,3.0,5.75,8.75,2026-02-22,bin,True,False,,,
1991 Topps Stadium Club Nolan Ryan Gold Medallion Charter Member,$4.00,$5.52,"Sold Feb 22, 2026",bw5-collectibles,New,https://www.ebay.com/itm/298036561120,N,,,Y,N,4.0,5.52,9.52,2026-02-22,auction,False,False,,,
1991 Stadium Club Charter Members Commemorative Nolan Ryan Medallion With Box,$2.99,$5.44,"Sold Feb 21, 2026",billynormick,New,https://www.ebay.com/itm/127595497867,N,,,N,N,2.99,5.44,8.43,2026-02-21,bin,False,False,,,
Nolan Ryan HOF Rangers Signed 1991 Stadium Club Charter Member AUTO BAS,$113.50,$5.50,"Sold Feb 17, 2026",probstein123,New,https://www.ebay.com/itm/376954475598,N,,,Y,N,113.5,5.5,119.0,2026-02-17,auction,False,False,,,
1991 Stadium Club Charter Member Nolan Ryan Commemorative Bronze Medallion,$5.24,$6.45,"Sold Feb 16, 2026",retro1_center,New,https://www.ebay.com/itm/406094612306,N,,,N,N,5.24,6.45,11.69,2026-02-16,bin,False,False,,,
1991 Topps Stadium Club Charter Member #553 Baseball Nolan Ryan Texas Rangers,$0.99,$1.49,"Sold Feb 16, 2026",baseballcardcenter,New,https://www.ebay.com/itm/326994196019,N,,,Y,N,0.99,1.49,2.48,2026-02-16,auction,False,False,,,553
Nolan Ryan HOF 1991 Stadium Club Charter Member #NNO Texas Rangers Mint,$10.00,$0.00,"Sold Feb 16, 2026",hof-rc,New,https://www.ebay.com/itm/296190043856,N,,,N,N,10.0,0.0,10.0,2026-02-16,bin,False,False,,,
1991-92 NOLAN RYAN Topps Stadium Club Charter Member Limited Edition Box Set NEW,$7.00,$5.95,"Sold Feb 16, 2026",bruggesfcjbr,Brand New,https://www.ebay.com/itm/188042180908,N,,,Y,N,7.0,5.95,12.95,2026-02-16,auction,False,False,,,92
1991 Stadium Club Charter Member Commemorative Nolan Ryan Medallion,$9.99,$0.00,"Sold Feb 16, 2026",cardclubhousellc,New,https://www.ebay.com/itm/236622022142,N,,,N,N,9.99,0.0,9.99,2026-02-16,bin,False,False,,,
1991 Topps Stadium Club Nolan Ryan Charter Member Bronze 300th Win Tribute,$10.00,$0.00,"Sold Feb 16, 2026",xiomi44,New,https://www.ebay.com/itm/389343698694,N,,,N,N,10.0,0.0,10.0,2026-02-16,bin,False,False,,,
1991 TOPPS STADIUM CLUB CHARTER MEMBERS ONLY BOX SET WITH NOLAN RYAN MEDALLION,$18.00,$7.00,"Sold Feb 15, 2026",mrgandy,Brand New,https://www.ebay.com/itm/188040395551,N,,,Y,N,18.0,7.0,25.0,2026-02-15,auction,False,False,,,
