title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url,image_url
1991 Upper Deck - Short Print Michael Jordan #SP1,$23.25,"Sold Mar 20, 2026",N,,,N,N,$5.52,jjcards23-2,New,https://www.ebay.com/itm/389763686370,https://i.ebayimg.com/images/g/cvIAAeSw3RlpufST/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1,$20.00,"Sold Mar 20, 2026",N,,,N,Y,$1.32,sig45auto,New,https://www.ebay.com/itm/188183423679,https://i.ebayimg.com/images/g/G6sAAeSwRr1pvBQD/s-l500.webp
1991 Upper Deck - Short Print #SP1 Michael Jordan PGS 8 NM-MT,$24.95,"Sold Mar 20, 2026",N,,,N,N,$4.75,coolaidmk,New,https://www.ebay.com/itm/226972413836,https://i.ebayimg.com/images/g/HWIAAeSwxqdoxWmN/s-l500.webp
1991 Michael Jordan Upper Deck #SP1 Gem Mint 10 RC Rookie Chicago White Sox,$99.99,"Sold Mar 20, 2026",N,,,N,N,$0.00,gradedstuff,New,https://www.ebay.com/itm/317888499476,https://i.ebayimg.com/images/g/7SMAAeSwR2dpk48v/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 PSA 9 MINT,$95.00,"Sold Mar 20, 2026",Y,PSA,9,N,N,$5.55,methalleon,New,https://www.ebay.com/itm/327056792886,https://i.ebayimg.com/images/g/xXgAAeSwEhVpu7Ti/s-l500.webp
Michael Jordan 1991 Upper Deck SP Baseball #SP1 PSA 8 NM-MINT Fresh Slab 🔥,$38.00,"Sold Mar 20, 2026",Y,PSA,8,N,N,$5.39,fortysportscards,New,https://www.ebay.com/itm/127754817927,https://i.ebayimg.com/images/g/JBsAAeSwTyVpur2k/s-l500.webp
Fleer Pro Vision Cards & Sets - Build Your Own Lot - You Choose! MLB NBA NFL,$0.99,"Sold Mar 20, 2026",N,,,N,N,$1.25,midseasonform,New,https://www.ebay.com/itm/365835646104,https://i.ebayimg.com/images/g/AZUAAeSwGx5otHql/s-l500.webp
Upper Deck 1991 Michael Jordan SP1 Short Print Insert Chicago White Sox Baseball,$19.99,"Sold Mar 20, 2026",N,,,N,Y,$1.32,mmcnulty24,New,https://www.ebay.com/itm/188184435353,https://i.ebayimg.com/images/g/kMgAAeSwW5RpvGVH/s-l500.webp
1991 Upper Deck Baseball MICHAEL JORDAN Card #SP1 White Sox,$18.26,"Sold Mar 19, 2026",N,,,Y,N,$1.32,eagles2105,New,https://www.ebay.com/itm/327043429923,https://i.ebayimg.com/images/g/iXUAAeSwOn9ps5OW/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1,$16.00,"Sold Mar 19, 2026",N,,,Y,N,$5.52,blackbu5632,New,https://www.ebay.com/itm/397707906358,https://i.ebayimg.com/images/g/~r4AAeSwpvJpqiwo/s-l500.webp
1991 Upper Deck Michael Jordan #SP1 - CGC 8,$28.50,"Sold Mar 19, 2026",Y,CGC,8,N,N,$7.95,kmoore2172,New,https://www.ebay.com/itm/298138716819,https://i.ebayimg.com/images/g/0ekAAeSwgBlpu1Xn/s-l500.webp
1991 Upper Deck - Short Print Michael Jordan #SP1 PSA 8,$45.00,"Sold Mar 19, 2026",Y,PSA,8,Y,N,$4.78,biscayn-8,New,https://www.ebay.com/itm/397707863786,https://i.ebayimg.com/images/g/J7AAAeSwWK1ps4hN/s-l500.webp
